PIC ID,Reference Name,Reference Link,Year,Conference (VENUE),Website,AUTHORS
printsense,PrintSense: A Versatile Sensing Technique to Support Multimodal Flexible Surface Interaction,https://www.microsoft.com/en-us/research/publication/printsense-a-versatile-sensing-technique-to-support-multimodal-flexible-surface-interaction/,2014,CHI,,"Nan-Wei Gong, Jürgen Steimle, Simon Olberding, Steve Hodges, Nicolas Gillian, Yoshihiro Kawahara, Joseph A. Paradiso"
fabricpcb,"Fabric PCBs, electronic sequins, and socket buttons: techniques
for e-textile craft",https://link.springer.com/article/10.1007/s00779-007-0181-0,2009,Personal Ubiquituous computing,https://dl.acm.org/citation.cfm?id=1487488,"Leah Buechley, Michael Eisenberg "
knitglove,A knitted glove sensing system with compression strain finger movements,https://iopscience.iop.org/article/10.1088/1361-665X/aab7cc,2018,Smart materials and Structures,,"Hochung Ryu, Sangki Park, Jong-Jin Park, Jihyun Bae"
siliconedevices,Silicone Devices: A Scalable DIY Approach for Fabricating Self-Contained Multi-Layered Soft Circuits using Microfluidics,https://www.semanticscholar.org/paper/Silicone-Devices%3A-A-Scalable-DIY-Approach-for-Soft-Nagels-Ramakers/fcc2fed20c088d30d9c90853a0e49c56f7972368,2018,CHI,http://www.raframakers.net/wiki/uploads/Main/SiliconeDevices/SiliconeDevices.pdf,"Steven Nagels, Raf Ramakers, Kris Luyten, Wim Deferme"
2dtouch,A Wearable Textile 2D Touchpad Sensor Based on Screen-Printing Technology,https://www.ncbi.nlm.nih.gov/pubmed/29261167,2017,Materials,,"Ferri J, Lidón-Roger JV, Moreno J, Martinez G, Garcia-Breijo E"
stitchinterconnect,"A sewing-enabled stitch-and-transfer method for
robust, ultra-stretchable, conductive interconnects",https://iopscience.iop.org/article/10.1088/0960-1317/24/9/095018/meta,2014,Micromechanics and Microengineering,https://engineering.purdue.edu/ZBML/index.html,"Rahim Rahimi, Manuel Ochoa, Wuyang Yu, Babak Ziaie"
flexiconnect,Flexible Interconnects for Electronic Textiles,https://onlinelibrary.wiley.com/doi/full/10.1002/admt.201700277,2018,Advanced Materials Technologies,,"Talha Agcayazi, Kony Chatterjee, Alper Bozkurt, Tushar K. Ghosh"
sketchstitch,Sketch&Stitch: Interactive Embroidery for E-Textiles,https://dl.acm.org/citation.cfm?id=3173656,2018,CHI,,"Nur Al-huda Hamdan, Simon Voelker, Jan Borchers"
moodinq,MoodinQ: A Programmable Tattoo System,https://www.tattoodo.com/a/2014/10/introducing-moodinq-a-programmable-tattoo-system/,2014,Tattoodo,,-
pebble,Build Your Own Pebble: The DIY Smartwatch,https://makezine.com/projects/make-43/open-source-smartwatch/,2015,Make,,Jonathan Cook
cicret,Cicret Bracelet Turns Skin Into a Touchscreen Display,https://design-milk.com/cicret-bracelet-turns-skin-touchscreen-display/,2015,Design Milk,https://cicret.com/wordpress/,Gregory Han
lumiwatch,Touch-Sensitive User Interface for a New Projector Smartwatch,http://chrisharrison.net/projects/lumiwatch/lumiwatch.pdf,2018,CHI,http://chrisharrison.net/projects/lumiwatch/lumiwatch.pdf,"Robert Xiao, Teng Cao, Ning Guo, Jun Zhuo, Yang Zhang, Chris Harrison"
woodshapechange,DESIGNING FOR SHAPE CHANGE: A Case study on 3D Printing Composite Materials for Responsive Architectures,https://www.researchgate.net/publication/332593417_DESIGNING_FOR_SHAPE_CHANGE_A_Case_study_on_3D_Printing_Composite_Materials_for_Responsive_Architectures,2019,CAADRIA,,"Elena Vazquez, Benay Gursoy, Jose Duarte"
machineknitting,Digital Fabrication of Soft Actuated Objects by Machine Knitting,http://morphingmatter.cs.cmu.edu/~morphin5/wp-content/uploads/2019/04/soft_actuated_objects.pdf,2019,CHI,https://morphingmatter.cs.cmu.edu/machine-knitting-soft-actuation/,"Lea Albaugh, Scott Hudson, Lining Yao"
aline,4D Printing A-line,https://www.researchgate.net/publication/332776656_4D_Printing_A-line,2019,CHI,https://morphingmatter.cs.cmu.edu/a-line/,"Guanyun Wang, Ye Tao, Ozguc Capunaman, Humphrey Yang, Lining Yao"
electrodermis,"
ElectroDermis: Fully Untethered, Stretchable, and Highly-Customizable Electronic Bandages",https://www.researchgate.net/publication/332741925_ElectroDermis_Fully_Untethered_Stretchable_and_Highly-Customizable_Electronic_Bandages,2019,CHI,https://morphingmatter.cs.cmu.edu/electrodermis/,"Eric Markvicka, Guanyun Wang, Yi-Chin Lee, Gierad Laput, Carmel Majidi, Lining Yao"
4dmesh,4DMesh: 4D Printing Morphing Non-Developable Mesh Surfaces,http://morphingmatter.cs.cmu.edu/~morphin5/wp-content/uploads/2018/11/p623-wang.pdf,2018,UIST,https://morphingmatter.cs.cmu.edu/4dmesh-4d-printing-morphing-non-developable-mesh-surfaces-2/,"Guanyun Wang, Humphrey Yang, Zeyu Yan, Nurcan Gecer Ulu, Ye Tao, Jianzhe Gu, Levent Burak Kara, Lining Yao"
ppactuator,Printed Paper Actuator: A Low-cost Reversible Actuation and Sensing Method for Shape Changing Interfaces,http://box5130.temp.domains/~morphin5/wp-content/uploads/2018/04/paper569.pdf,2018,CHI,https://morphingmatter.cs.cmu.edu/paper-actuator/,"Guanyun Wang, Tingyu Cheng, Youngwook Do, Humphrey Yang, Ye Tao, Jianzhe Gu, Byoungkwon An, Lining Yao"
thermorph,Thermorph: Democratizing 4D Printing of Self-Folding Materials and Interfaces,http://box5130.temp.domains/~morphin5/wp-content/uploads/2018/04/thermorph_paper2599_V10.pdf,2018,CHI,https://morphingmatter.cs.cmu.edu/thermorph/,"Byoungkwon An, Ye Tao, Jianzhe Gu, Tingyu Cheng, Xiang 'Anthony' Chen, Xiaoxiao Zhang, Wei Zhao, Youngwook Do, Shigeo Takahashi, Hsiang-Yun Wu, Teng Zhang, Lining Yao"
pep,PEP (3D Printed Electronic Papercrafts): An Integrated Approach for 3D Sculpting Paper-Based Electronic Devices,http://box5130.temp.domains/~morphin5/wp-content/uploads/2018/05/paper441.pdf,2018,CHI,https://morphingmatter.cs.cmu.edu/pep-3d-printed-electronic-paper/,"Hyunjoo Oh, Tung D. Ta, Ryo Suzuki, Mark D. Gross, Yoshihiro Kawahara, Lining Yao"
sbs,Switchable Bistability in 3D Printed Shells With Bio-Inspired Architectures and Spatially Distributed Pre-Stress,https://proceedings.asmedigitalcollection.asme.org/proceeding.aspx?articleid=2716061,2018,SMASIS,https://engineering.purdue.edu/ProgrammableStructures/,"Karl Jin Ang, Katherine S. Riley, Jakob Faber, Andres F. Arrieta"
glowingbioactuator2,Robotic Systems and Autonomous Platforms: Advances in Materials and Manufacturing,http://morphingmatter.cs.cmu.edu/~morphin5/wp-content/uploads/2018/10/preprint_Robotic_systems_Yao_Ishii.pdf,2016,Advances in Materials and Manufacturing,https://morphingmatter.cs.cmu.edu/glowing-actuators/,"Lining Yao, Hiroshi Ishii"
glowingbioactuator,Harnessing the hygroscopic and biofluorescent behaviors of genetically tractable microbial cells to design biohybrid wearables,http://morphingmatter.cs.cmu.edu/~morphin5/wp-content/uploads/2017/10/2017_scienceadvances_glowcell.pdf,2017,Science Advances,https://morphingmatter.cs.cmu.edu/glowing-actuators/,"Wen Wang, Lining Yao, Chin-Yi Cheng, Teng Zhang, Hiroshi Atsumi, Luda Wang, Guanyun Wang, Oksana Anilionyte, Helene Steiner, Jifei Ou, Kang Zhou, Chris Wawrousek, Katherine Petrecca, Angela M. Belcher, Rohit Karnik, Xuanhe Zhao, Daniel I. C. Wang, Hiroshi Ishii"
biologic,bioLogic: Natto Cells as Nanoactuators for Shape Changing Interfaces,http://morphingmatter.cs.cmu.edu/~morphin5/wp-content/uploads/2017/10/2015_chi_biologic.pdf,2015,CHI,https://morphingmatter.cs.cmu.edu/second-skin/,"Lining Yao, Jifei Ou, Chin-Yi Cheng, Helene Steiner, Wen Wang, Guanyun Wang, Hiroshi Ishii"
bioprint,bioPrint: A Liquid Deposition Printing System for Natural Actuators,http://morphingmatter.cs.cmu.edu/~morphin5/wp-content/uploads/2017/10/2015_3D_Printing_and_Additive_Manufacturing.pdf,2015,3DP,https://morphingmatter.cs.cmu.edu/bioprint-living-being/,"Lining Yao, Jifei Ou, Guanyun Wang, Chin-Yi Cheng, Wen Wang, Helene Steiner, and Hiroshi Ishii"
layerjam,jamSheets: Thin Interfaces with Tunable Stiffness Enabled by Layer Jamming,http://morphingmatter.cs.cmu.edu/~morphin5/wp-content/uploads/2017/10/2014_tei_layerjamming.pdf,2014,TEI,https://morphingmatter.cs.cmu.edu/layer-jamming/,"Jifei Ou, Lining Yao, Daniel Tauber, Jürgen Steimle, Ryuma Niiyama, Hiroshi Ishii"
pneui,PneUI: Pneumatically Actuated Soft Composite Materials for Shape Changing Interfaces,http://morphingmatter.cs.cmu.edu/~morphin5/wp-content/uploads/2017/10/2013_uist_pneui.pdf,2013,UIST,https://morphingmatter.cs.cmu.edu/pneumatic-composite/,"Lining Yao, Ryuma Niiyama, Jifei Ou, Sean Follmer, Clark Della Silva, Hiroshi Ishii"
chainmail,Chainmail,https://www.thingiverse.com/thing:45203,2013,Thingiverse,https://www.thingiverse.com/,Walter Hsiao
kicad,Smartwatch Pt1: KiCAD,https://www.youtube.com/watch?v=d8jc72cPHK0,2019,YouTube,https://www.youtube.com/channel/UCBHJl9uh-3ucWxIeB2abFDw,Paul Smith
djispark,DJI Spark Demo (Palm Control | Hand Gesture Sensor),https://www.youtube.com/watch?v=tnC1NH1Ozu0,2017,,https://www.dji.com/spark,DJI
sensorknit,SensorKnits: Architecting textile sensors with machine knitting,https://resenv.media.mit.edu/pubs/papers/Sensorknit-3DP.pdf,2019,3D Printing and Additive Manufacturing,https://www.media.mit.edu/projects/sensorknits/overview/,"Jifei Ou, Daniel Oran, Don Derek Haddad, Joseph Paradiso, and Hiroshi Ishii"
liquidprint,"xPrint: A Modularized Liquid Printer
for Smart Materials Deposition",https://dam-prod.media.mit.edu/x/files/publishedmedia/Papers/611-xPrint%20A%20Modularized%20Liquid/Published/PDF,2016,CHI,https://www.media.mit.edu/publications/xprint-a-modularized-liquid-printer-for-smart-materials-deposition/,"Guanyun Wang, Lining Yao, Wen Wang, Jifei Ou, Chin-Yi Cheng, Hiroshi Ishii"
lasec,"LASEC: Instant Fabrication of Stretchable Circuits
Using a Laser Cutter",https://hci.cs.uni-saarland.de/wp-content/uploads/2019/01/LASEC_CHI19.pdf,2019,CHI,https://hci.cs.uni-saarland.de/research/hotflex/,"Daniel Groeger, Jürgen Steimle"
hotflex,HotFlex: Post-print Customization of 3D Prints Using Embedded State Change,https://hci.cs.uni-saarland.de/files/2016/01/889-groeger.pdf,2016,CHI,,"Daniel Groeger, Elena Chong Loo, Jurgen Steimle"
printscreen,PrintScreen: Digital Fabrication of Thin-Film Displays,https://hci.cs.uni-saarland.de/files/2014/10/PrintScreen.pdf,2014,UIST,https://hci.cs.uni-saarland.de/research/printscreen/,"Simon Olberding, Michael Wessely, Jürgen Steimle"
tacttoo,Tacttoo: A Thin and Feel-Through Tattoo for On-Skin Tactile Output,https://hci.cs.uni-saarland.de/wp-content/uploads/2018/08/ufp1394-withanaA.pdf,2018,UIST,https://hci.cs.uni-saarland.de/research/tacttoo/,"Anusha Withana, Daniel Groeger, Jürgen Steimle"
multitouchskin,Multi-Touch Skin: A Thin and Flexible Multi-Touch Sensor for On-Skin Input,https://hci.cs.uni-saarland.de/wp-content/uploads/2018/03/multi-touch-skin.pdf,2018,CHI,https://hci.cs.uni-saarland.de/research/multi-touch-skin/,"Aditya Shekhar Nittala, Anusha Withana, Narjes Pourjafarian, Jürgen Steimle"
iskin,"iSkin: Flexible, Stretchable and Visually Customizable
On-Body Touch Sensors for Mobile Computing",https://hci.cs.uni-saarland.de/files/2015/01/2015-iSkin.pdf,2015,CHI,https://hci.cs.uni-saarland.de/research/iskin/,"Martin Weigel, Tong Lu, Gilles Bailly, Antti Oulasvirta, Carmel Majidi, Jurgen Steimle"
skinmarks,"SkinMarks
Enabling Interactions on Body Landmarks Using Conformal Skin Electronics",https://hci.cs.uni-saarland.de/wp-content/uploads/2012/11/pn2283-weigelA.pdf,2017,CHI,https://hci.cs.uni-saarland.de/research/skinmarks/,"Martin Weigel, Aditya Shekhar Nittala, Alex Olwal, Jurgen Steimle"
tensiongarment,Tension-Controlled Active Compression Garment for Treatment of Orthostatic Intolerance,http://proceedings.asmedigitalcollection.asme.org/proceeding.aspx?articleid=2685412,2018,Design of Medical Devices Conference,https://wtl.design.umn.edu/research/active-compression-garments.html,"Robert Pettys-Baker, Nicholas Schleif, J. Walter Lee, Sophia Utset-Ward, Mary Ellen Berglund, Lucy E. Dunne, Brad Holschuh, Christopher Johnson, Kevin Kelly, Bruce Johnson, Michael Joyner"
anthropometric,"An Analysis of Anthropometric Geometric Variability of the Lower
Leg for the Fit & Function of Advanced Functional Garments",https://dl.acm.org/citation.cfm?id=3123034,2017,ISWC,https://wtl.design.umn.edu/research/active-compression-garments.html,"Rachael Granberry, Julia Duvall, Lucy E. Dunne, Bradley Holschuh"
auxetic,Auxetic materials in design and architecture,https://www.nature.com/articles/natrevmats201778.epdf?shared_access_token=I7qClxa2SzN_a34VU6d-U9RgN0jAjWel9jnR3ZoTv0PMBnQk8hmd6inPFdRozWjqVZ0NSR2C7kFTc3Kwtjw80TDGPp2sMOxsskAO8kX1xGV-7b7DHZljfYkCAwKn6wanf1VtDGq68UYst3tcNUqm8JQmycoAL6VUbGgy9FDbKEg%3D,2017,Nature Reviews Materials,https://selfassemblylab.mit.edu/active-auxetics,"Athina Papadopoulou, Jared Laucks and Skylar Tibbits"
deformablestructures,Large-Scale Lightweight Transformable Structures,http://papers.cumincad.org/data/works/att/acadia17_572.pdf,2017,ACADIA,https://selfassemblylab.mit.edu/transformable-meeting-spaces,"Bjorn Sparrman, Chris Matthews, Schendy Kernizan, Aran Chadwick, Neil Thomas,Jared Laucks, Skylar Tibbits"
hygro,3D-Printed Wood: Programming Hygroscopic Material Transformations,https://dspace.mit.edu/bitstream/handle/1721.1/104845/Correa-2015-3D-Printed%20Wood_%20Pro.pdf?sequence=1&isAllowed=y,2015,3D Printing and Additive Manufacturing,,"David Correa, Athina Papadopoulou, Christophe Guberan, Nynika Jhaveri, Steffen Reichert, Achim Menges, Skylar Tibbits"
selfevolving,Active Printed Materials for Complex Self-Evolving Deformations,https://www.nature.com/articles/srep07422.pdf,2014,Nature Research,https://selfassemblylab.mit.edu/4d-printing,"Dan Raviv, Wei Zhao, Carrie McKnelly, Athina Papadopoulou, Achuta Kadambi, Boxin Shi, Shai Hirsch, Daniel Dikovsky, Michael Zyracki, Carlos Olguin, Ramesh Raskar, Skylar Tibbits"
4dprintingtrans,4D Printing and Universal Transformation,http://papers.cumincad.org/data/works/att/acadia14_539.content.pdf,2014,ACADIA,https://selfassemblylab.mit.edu/4d-printing,"Skylar Tibbits, Carrie McKnelly, Carlos Olguin, Daniel Dikovsk, Shai Hirsch"
dna,DNA disPLAY: Programmable Bioactive Materials Using CNC Patterning,http://scholar.google.com/scholar_url?url=https://idc.sutd.edu.sg/wp-content/uploads/sites/10/2014/07/2014-DNA-disPLAY-Programmable-Bioactive-Materials-using-CNC-Patterning.pdf&hl=en&sa=X&scisig=AAGBfm2bwPuZXlo19TtgbWmcx9px0fzQfQ&nossl=1&oi=scholarr,2014,Architectural Design ,,"Skylar Tibbits, Lina Kara’in, Joseph Schaeffer, Helena de Puig, Jose Gomez-Marquez and Anna Young"
etext,Surface-mount manufacturing for e-textile circuits,https://dl.acm.org/citation.cfm?id=3123058,2017,ISWC,https://wtl.design.umn.edu/research/cut-and-sew.html,"Md. Tahmidul Islam Molla, Steven Goodman, Nicholas Schleif, Mary Ellen Berglund, Cade Zacharias, Crystal Compton, and Lucy E. Dunne"
cutsewetext,Launderability of surface-insulated Stitching/Sewing E-textiles,https://dl.acm.org/citation.cfm?id=3267255,2018,ISWC,https://wtl.design.umn.edu/research/cut-and-sew.html,"Md. Tahmidul Islam Molla, Crystal Compton, Lucy E. Dunne"
spatialknit,"Novel manufacturing of advanced smart garments: knitting with spatially-varying, multi-material monofilament",https://dl.acm.org/citation.cfm?id=3267278,2018,ISWC,https://wtl.design.umn.edu/research/additive-manufacturing.html,"Simon Ozbek, Md. Tahmidul Islam Molla, Crystal Compton, Brad Holschuh"
eink,Multi-modal wearable ambient display: an investigation of continuous glucose monitoring,https://dl.acm.org/citation.cfm?id=2971801,2016,ISWC,https://wtl.design.umn.edu/research/multi-modal-wearable-display.html,"Jordyn Reich, Lucy E. Dunne"
multishapechange,Multi-material Shape Change,https://onlinelibrary.wiley.com/doi/epdf/10.1002/ad.1710,2014,Architectural Design ,,"Skylar Tibbits, Shelly Linor, Daniel Dikovsky and Shai Hirsch"
logicmatter,Programmable materials for architectural assembly and automation,https://www.emeraldinsight.com/doi/pdfplus/10.1108/01445151211244348,2012,"Assembly Automation, Vol. 32 Issue: 3",,"Skylar Tibbits, Kenny Cheung"
liquidprintMIT,Large-Scale Rapid Liquid Printing,https://www.liebertpub.com/doi/10.1089/3dp.2017.0037,2017,3D Printing and Additive Manufacturing,https://selfassemblylab.mit.edu/rapid-liquid-printing,"Kathleen Hajash, Bjorn Sparrman, Christophe Guberan, Jared Laucks, Skylar Tibbits"
rockprint,Granular Jamming of Loadbearing and Reversible Structures,https://onlinelibrary.wiley.com/doi/pdf/10.1002/ad.2199,2017,Archtectural Design 87,https://selfassemblylab.mit.edu/rock-printing,"Petrus Aejmelaeus-Lindström, Ammar Mirjan, Fabio Gramazio, Matthias Kohler, Schendy Kernizan, Björn Sparrman, Jared Laucks Skylar Tibbits"
jammingbodies,Jammed architectural structures: towards large-scale reversible construction,https://link.springer.com/content/pdf/10.1007%2Fs10035-016-0628-y.pdf,2015,Topical Collection,https://selfassemblylab.mit.edu/jamming-bodies,"Petrus Aejmelaeus-Lindström, Jan Willmann, Skylar Tibbits, Fabio Gramazio, Matthias Kohler"
eink,Adafruit eInk Display Breakouts,https://learn.adafruit.com/adafruit-eink-display-breakouts/arduino-code,2018,Adafuit,https://learn.adafruit.com/,"Dano Wall, Dean Miller, Melissa LeBlanc-Williams, Kattni Rembor, Isaac Wellish "
ledjewel,Easy LED Jeweled Necklace,https://learn.adafruit.com/led-jeweled-necklace,2019,Adafuit,https://learn.adafruit.com/,Erin St Blaine
musicglove,Circuit Playground Musical Glove,https://learn.adafruit.com/cpx-musical-glove,2019,Adafuit,https://learn.adafruit.com/,Kathy Ceceri
makingsomething,making something,http://www.kwodrent.com/index.php/site/projects/3,2011,Kwodrent,http://www.kwodrent.com/index.php,Grace Tan
fantasia,FantAsia: n. 254,http://www.kwodrent.com/index.php/site/projects/1,2010,Kwodrent,http://www.kwodrent.com/index.php,Grace Tan
womanonwoman,"Woman on Woman: n. 246, n.254",http://www.kwodrent.com/index.php/site/projects/29,2008,FOST Gallery,http://www.kwodrent.com/index.php,Grace Tan
specimen,8Q-Rate: School: Specimens,http://www.kwodrent.com/index.php/site/projects/30,2008,Singapore Art Museum: 8Q,http://www.kwodrent.com/index.php,Grace Tan
workingprocess,kwodrent: working process,http://www.kwodrent.com/index.php/site/projects/34,2008,FOST Gallery,http://www.kwodrent.com/index.php,Grace Tan
soundsuit,SoundsuitShop,http://www.soundsuitshop.com/SSS_Sales%20Kit_2016_Catalog.pdf,2016,SoundsuitShop,http://www.soundsuitshop.com/#scene,Nick Cave
ceres,Wearables that Measure the World Around You,https://www.theverge.com/2018/4/14/17233430/wearable-media-fashion-tech-nyc-ceres-jumpsuit-interactive,2018,The Verge,https://www.wearablemedia.co/ceres,"Jingwen Zhu, Yuchen Zhang, Hellyn Teng"
orphe,Orphe: Smart Footwear,https://orphe.shoes/,2014,no new folk studio Inc.,https://no-new-folk.com/en/,no new folk studio inc
chromorphous,ChroMorphous,http://www.chromorphous.com/,2018,ChroMorphous,http://www.chromorphous.com/,Chromorphous
powersuit,The Power Suit,https://urbanarmor.org/portfolio/the-power-suit/,,urbanarmor,https://urbanarmor.org/,Kathleen McDermott
sed,The Social Escape Dress,https://urbanarmor.org/portfolio/the-social-escape-dress/,,urbanarmor,https://urbanarmor.org/,Kathleen McDermott
cinnabrooch,Cinnabrooch,https://urbanarmor.org/portfolio/cinnabrooch/,,urbanarmor,https://urbanarmor.org/,Kathleen McDermott
pfd,The Perfect Fit! Dress,https://urbanarmor.org/portfolio/the-perfect-fit-dress/,,urbanarmor,https://urbanarmor.org/,Kathleen McDermott
heavypetter,The Heavy Petter,https://urbanarmor.org/portfolio/the-heavy-petter/,,urbanarmor,https://urbanarmor.org/,Kathleen McDermott
missmyface,Miss-My-Face,https://urbanarmor.org/portfolio/miss-my-face/,,urbanarmor,https://urbanarmor.org/,Kathleen McDermott
personalspace,The Personal Space Dress,https://urbanarmor.org/portfolio/the-personal-space-dress/,,urbanarmor,https://urbanarmor.org/,Kathleen McDermott
autofilter,The Autofilter,https://urbanarmor.org/portfolio/the-autofilter/,,urbanarmor,https://urbanarmor.org/,Kathleen McDermott
modernconstellation,MODERN CONSTELLATION,http://www.makefashion.ca/modern-constellation-wearable-tech/,2015,MakeFashion,http://www.makefashion.ca/,"Maria Orduz, Tony Grimes, Jesse Goucher, Ben Eadie, Jon McDonald, Shannon Hoover, Dan Damron"
hagoromo,HAGOROMO,http://www.makefashion.ca/projects/erina-kashihara/,2015,MakeFashion,http://www.ne.jp/asahi/k-one/space/e2ndeng.htm,Erina Kashihara
lumencouture,LUMEN COUTURE,http://www.makefashion.ca/projects/lumen-couture-projection-mapped-dress/,2016,MakeFashion,http://www.chelscore.com/,"Chelsea Klukas, Chris Corner"
whiteblacklight,WHITE LIGHT // BLACK LIGHT,http://www.makefashion.ca/projects/whitelightblacklight/,2015,MakeFashion,https://www.laura-dempsey.com/,"Laura Dempsey, Hannah Newton"
gamergirls,GAMERGIRLS,http://www.makefashion.ca/projects/gamer-girls/,2016,MakeFashion,http://www.phifashiondesign.com/,"Kenzie Housego, Stacey Morgan, Sophie Amin, Alexis Friesen"
truenorth,TRUE NORTH,http://www.makefashion.ca/true-north/,2017,MakeFashion,http://www.phifashiondesign.com/,"Kenzie Housego, Stacey Morgan, Sophie Amin"
refamiliar,RE:FAMILIAR,http://www.makefashion.ca/projects/drone-dress/,2017,MakeFashion,"http://socialbodylab.com/
http://cttoronto.com/",Little Dada
smartsuit,SMART SUIT,http://www.makefashion.ca/projects/smart-suit/,2016,MakeFashion,www.kellyhofer.com,Kelly Hofer
together,TO:GETHER,http://www.makefashion.ca/projects/together/,2016,MakeFashion,"http://missvelvetcream.blogspot.com/
http://kathrynblair.com/","Kathryn Blair, Scatha G. Allison"
exmachina,EX MACHINA,http://www.makefashion.ca/projects/ex-machina/,2016,MakeFashion,"http://www.fabricadabra.ca/
http://www.tripthelightdance.com/artists/",Angela Dale
softpower,SOFT POWER,http://www.makefashion.ca/projects/soft-power/,2016,MakeFashion,"www.sensebridge.net
www.dystropolis.com","Wendy Ng, Eric Boyd"
mimic,MIMIC,http://www.makefashion.ca/projects/mimic/,2016,MakeFashion,http://www.ampedatelier.com,"Sahrye Cohen, Hal Rodriguez"
musetheral,MUSETHEREAL,http://www.makefashion.ca/projects/musethereal/,2016,MakeFashion,"http://www.angiec.ca/
https://www.instagram.com/ksksksushi/
https://www.youtube.com/channel/UCBfN865FwE3z9zC75djkytQ","Angie C, Jacqui Lewis, Kent Brockman, Ksenia Nadkina"
3lectromode,3lectromode,http://www.makefashion.ca/projects/3lectromode/,2015,MakeFashion,http://3lectromode.com/,"Valérie Lamontagne, Isabelle Campeau, Hesam Khoshneviss, Julia Marois, Marie-Charles Nadeau, Annex Vintage, Charlie Marois, France Jobin “Smith Bay”"
obscureshadow,OBSCURE SHADOW,http://www.makefashion.ca/projects/obscure-shadow-fashiontech/,2015,MakeFashion,,"Matt Jackson Laprairie, Hazel Brandreth"
virtuallyvogue,Virtually Vogue,http://www.makefashion.ca/projects/virtually-vogue/,2015,MakeFashion,,"Catherine Hazin, Dan Damron, Kelly Hofer, Dianne Gibson"
phi,Phi: Illuminated Designs,http://www.makefashion.ca/projects/phi-illuminated-designs/,2015,MakeFashion,http://www.phifashiondesign.com/,"Stacey Morgan, Kenzie Housego, Sophia Amin"
alleles,The ALLELES Design Studio,http://www.makefashion.ca/projects/the-alleles-design-studio/,2015,MakeFashion,http://www.alleles.ca/,"McCauley Wanner, Ryan Palibroda"
positivefeedback,Positive Feedback,http://www.makefashion.ca/projects/positive-feedback/,2015,MakeFashion,,"Kathryn Blair, Ryan Blair"
eunoia,Eunoia,http://www.makefashion.ca/projects/eunoia/,2015,MakeFashion,,"Kyle Nylund, Tony Grimes"
tribaltech,Tribal Tech,http://www.makefashion.ca/projects/tribal-tech/,2015,MakeFashion,,"Angela Dale, Tanya Lee, Dave Hrynkiw, Brianna Maryon, Melissa Cole"
opulence,Opulence,http://www.makefashion.ca/projects/opulence/,2015,MakeFashion,,"Jason Mellor, Hazel Brandreth, Erin Bauer"
jewellabyrinth,Jewel Labyrinth,http://www.makefashion.ca/erina-kashihara-for-makefashion-jewel-labyrinth/,2014,MakeFashion,http://www.ne.jp/asahi/k-one/space/e2ndeng.htm,Erina Kashihara
butterflydress,Butterfly Dress	,http://www.makefashion.ca/makefashion-butterfly-dress/,2014,MakeFashion,,Amy Winters
blinklifier,Blinklifier,http://www.makefashion.ca/makefashion-spotlight-blinklifier/,2014,MakeFashion,,Patricia “Tricia” Flanagan
illuminatedvintage,Illuminated Vintage,http://www.makefashion.ca/makefashion-spotlight-illuminated-vintage/,2014,MakeFashion,,"Amie Mae, Stacey Morgan, Kenzie Housego, Dan Demron"
